WBS_Name,Activity_ID,Activity_Name,Duration_Days,Predecessor
"1.2 Project Controls (Planning, Cost, Document Control)",A1220,"Prepare and Issue Monthly Progress Report (including S-Curves, CPI/SPI)",1,START
"1.2 Project Controls (Planning, Cost, Document Control)",A1230,Conduct Monthly Progress and Commercial Review Meetings,1,Prepare and Issue Monthly Progress Report (including S-Curves
"1.2 Project Controls (Planning, Cost, Document Control)",A1240,Manage and Process Change Orders / Variations,1,Establish Change Management and Variation Control Procedure
"1.2 Project Controls (Planning, Cost, Document Control)",A1250,Maintain Programme Revisions and incorporate Approved Changes,1,Manage and Process Change Orders / Variations
"1.2 Project Controls (Planning, Cost, Document Control)",A1260,Perform Earned Value Management (EVM) Analysis,1,Perform Weekly Planning & Progress Update Cycle
"1.2 Project Controls (Planning, Cost, Document Control)",A1270,Maintain and Update Project Cost Forecast (Estimate at Completion - EAC),1,Perform Earned Value Management (EVM) Analysis
"1.2 Project Controls (Planning, Cost, Document Control)",A1280,Ongoing Management of Document Submittals and Transmittals,1,Establish Document Control Procedures and Numbering System
"1.2 Project Controls (Planning, Cost, Document Control)",A1290,Process and Distribute Requests for Information (RFIs) and Site Instructions,1,Ongoing Management of Document Submittals and Transmittals
"1.2 Project Controls (Planning, Cost, Document Control)",A1300,Maintain Master Document Register (MDR),1,Process and Distribute Requests for Information (RFIs) and Site Instructions
"1.2 Project Controls (Planning, Cost, Document Control)",A1310,Project Controls - Closeout Phase**,1,START
"1.2 Project Controls (Planning, Cost, Document Control)",A1320,Develop and Manage Commissioning & Handover Programme,1,Maintain Master Document Register (MDR)
"1.2 Project Controls (Planning, Cost, Document Control)",A1330,Compile and Submit Final As-Built Documentation,1,Develop and Manage Commissioning & Handover Programme
"1.2 Project Controls (Planning, Cost, Document Control)",A1340,Compile and Submit Final Handover Documentation (O&M Manuals),1,Compile and Submit Final As-Built Documentation
"1.2 Project Controls (Planning, Cost, Document Control)",A1350,Prepare and Agree on Final Account Submission,1,Compile and Submit Final Handover Documentation (O&M Manuals)
"1.2 Project Controls (Planning, Cost, Document Control)",A1360,Prepare Final Project Controls Report (including Lessons Learned),1,Prepare and Agree on Final Account Submission
"1.2 Project Controls (Planning, Cost, Document Control)",A1370,Archive all Project Documentation and Data,1,Prepare Final Project Controls Report (including Lessons Learned)
"1.2 Project Controls (Planning, Cost, Document Control)",A1380,Milestone: Project Controls Closeout Complete**,1,START
1.3 Engineering Management & Design Coordination,A1390,GENERATED ACTIVITY LIST (LOGICAL SEQUENCE):**,1,START
1.3 Engineering Management & Design Coordination,A1400,Design Initiation & Planning**,1,START
1.3 Engineering Management & Design Coordination,A1410,Develop and Finalise Engineering Management Plan (EMP),1,Design Initiation & Planning
1.3 Engineering Management & Design Coordination,A1420,Establish Design Deliverables Register and Schedule,1,Conduct Project Design Kick-Off Meeting with all Disciplines
1.3 Engineering Management & Design Coordination,A1430,Mobilise Design Management & Coordination Team,1,Develop and Finalise Engineering Management Plan (EMP)
1.3 Engineering Management & Design Coordination,A1440,Conduct Project Design Kick-Off Meeting with all Disciplines,1,Mobilise Design Management & Coordination Team
1.3 Engineering Management & Design Coordination,A1450,Finalise and Approve Basis of Design (BOD) Document,1,Establish Design Deliverables Register and Schedule
1.3 Engineering Management & Design Coordination,A1460,Preliminary / 30% Design Stage**,1,START
1.3 Engineering Management & Design Coordination,A1470,Prepare and Issue 30% Preliminary Design Package for Internal Review,1,Finalise and Approve Basis of Design (BOD) Document
1.3 Engineering Management & Design Coordination,A1480,Conduct Inter-Disciplinary Coordination & Clash Review for 30% Design,1,Prepare and Issue 30% Preliminary Design Package for Internal Review
1.3 Engineering Management & Design Coordination,A1490,Submit 30% Preliminary Design Package to Client for Review & Comment,1,Conduct Inter-Disciplinary Coordination & Clash Review for 30% Design
1.3 Engineering Management & Design Coordination,A1500,Incorporate Client Comments into Design,1,Submit 60% Detailed Design Package to Client for Review & Comment
1.3 Engineering Management & Design Coordination,A1510,Achieve Milestone: Client Approval of 30% Preliminary Design,1,Incorporate Client Comments into Design
1.3 Engineering Management & Design Coordination,A1520,Detailed / 60% Design Stage**,1,START
1.3 Engineering Management & Design Coordination,A1530,Prepare and Issue 60% Detailed Design Package for Internal Review,1,Achieve Milestone: Client Approval of 30% Preliminary Design
1.3 Engineering Management & Design Coordination,A1540,Conduct Inter-Disciplinary Coordination & Clash Review for 60% Design,1,Prepare and Issue 60% Detailed Design Package for Internal Review
1.3 Engineering Management & Design Coordination,A1550,Submit 60% Detailed Design Package to Client for Review & Comment,1,Conduct Inter-Disciplinary Coordination & Clash Review for 60% Design
1.3 Engineering Management & Design Coordination,A1560,Incorporate Client Comments into Design,1,Submit 60% Detailed Design Package to Client for Review & Comment
1.3 Engineering Management & Design Coordination,A1570,Achieve Milestone: Client Approval of 60% Detailed Design,1,Incorporate Client Comments into Design
1.3 Engineering Management & Design Coordination,A1580,Prepare and Issue 90% Pre-Final Design Package for Internal Review,1,Achieve Milestone: Client Approval of 60% Detailed Design
1.3 Engineering Management & Design Coordination,A1590,Conduct Final Inter-Disciplinary Coordination & Clash Detection,1,Prepare and Issue 90% Pre-Final Design Package for Internal Review
1.3 Engineering Management & Design Coordination,A1600,Submit 90% Pre-Final Design Package to Client for Final Review,1,Conduct Final Inter-Disciplinary Coordination & Clash Detection
1.3 Engineering Management & Design Coordination,A1610,Incorporate Final Client Comments into Design,1,Submit 90% Pre-Final Design Package to Client for Final Review
1.3 Engineering Management & Design Coordination,A1620,Achieve Milestone: Client Approval of 90% Pre-Final Design,1,Incorporate Final Client Comments into Design
1.3 Engineering Management & Design Coordination,A1630,Prepare and Issue 100% Issued for Construction (IFC) Drawings & Specifications,1,Achieve Milestone: Client Approval of 90% Pre-Final Design
1.3 Engineering Management & Design Coordination,A1640,Perform Final Quality Assurance / Quality Control (QA/QC) on IFC Package,1,Prepare and Issue 100% Issued for Construction (IFC) Drawings & Specifications
1.3 Engineering Management & Design Coordination,A1650,Submit IFC Package for Statutory / Authority Approvals,1,Perform Final Quality Assurance / Quality Control (QA/QC) on IFC Package
1.3 Engineering Management & Design Coordination,A1660,Achieve Milestone: Receive all Required Authority Approvals,1,Submit IFC Package for Statutory / Authority Approvals
1.3 Engineering Management & Design Coordination,A1670,Manage and Track Design Progress & Performance,1,Finalise and Approve Basis of Design (BOD) Document
1.3 Engineering Management & Design Coordination,A1680,Conduct Weekly Design Coordination Meetings,1,Manage and Track Design Progress & Performance
1.3 Engineering Management & Design Coordination,A1690,"Manage Design Interface between Disciplines (Arch, Struc, MEP, etc.)",1,START
1.3 Engineering Management & Design Coordination,A1700,Manage and Control Design Changes and Variations,1,Manage Design Interface between Disciplines (Arch
1.3 Engineering Management & Design Coordination,A1710,Manage Document Control and Transmittals,1,Manage and Control Design Changes and Variations
1.3 Engineering Management & Design Coordination,A1720,Provide Technical Support during Procurement & Tendering Phase,1,Achieve Milestone: Receive all Required Authority Approvals
1.3 Engineering Management & Design Coordination,A1730,Review and Approve Contractor Technical Submittals and Shop Drawings,1,Provide Technical Support during Procurement & Tendering Phase
1.3 Engineering Management & Design Coordination,A1740,Manage and Respond to Site Technical Queries (TQs) / Requests for Information (RFIs),1,Review and Approve Contractor Technical Submittals and Shop Drawings
1.3 Engineering Management & Design Coordination,A1750,Review and Incorporate Red-Line Markups for As-Built Records,1,Manage and Respond to Site Technical Queries (TQs) / Requests for Information (RFIs)
1.3 Engineering Management & Design Coordination,A1760,Prepare and Submit Final As-Built Drawings and Documentation,1,Review and Incorporate Red-Line Markups for As-Built Records
1.3 Engineering Management & Design Coordination,A1770,Compile and Issue Final Design Handover and Closeout Report,1,Prepare and Submit Final As-Built Drawings and Documentation
"1.4 Quality, Health, Safety & Environment (QHSE) Management",A1780,GENERATED ACTIVITY LIST (LOGICAL SEQUENCE):**,1,START
"1.4 Quality, Health, Safety & Environment (QHSE) Management",A1790,Develop Overall Project QHSE Management Plan,1,START
"1.4 Quality, Health, Safety & Environment (QHSE) Management",A1800,Develop Project-Specific Health & Safety (H&S) Plan,1,Develop Overall Project QHSE Management Plan
"1.4 Quality, Health, Safety & Environment (QHSE) Management",A1810,Develop Project-Specific Environmental Management Plan,1,Develop Project-Specific Health & Safety (H&S) Plan
"2.1 Surveys (Topographical, Geotechnical) & Investigations",A1820,GENERATED ACTIVITY LIST (LOGICAL SEQUENCE):**,1,START
"2.1 Surveys (Topographical, Geotechnical) & Investigations",A1830,Develop and Finalise Scope of Work (SOW) for Survey & Investigation Package,1,START
"2.1 Surveys (Topographical, Geotechnical) & Investigations",A1840,Procure and Appoint Specialist Survey Subcontractor,1,Develop and Finalise Scope of Work (SOW) for Survey & Investigation Package
"2.1 Surveys (Topographical, Geotechnical) & Investigations",A1850,Submit and Approve Method Statements & Risk Assessments (RAMS) for Survey Works,1,Procure and Appoint Specialist Survey Subcontractor
2.2 Detailed Design - Viaduct & Associated Structures,A1860,GENERATED ACTIVITY LIST (LOGICAL SEQUENCE):**,1,START
2.2 Detailed Design - Viaduct & Associated Structures,A1870,Design Management & Initiation**,1,START
2.2 Detailed Design - Viaduct & Associated Structures,A1880,Mobilize Detailed Design Team & Hold Kick-Off Meeting,1,START
2.2 Detailed Design - Viaduct & Associated Structures,A1890,Review and Finalize Basis of Design (BOD) Document,1,Mobilize Detailed Design Team & Hold Kick-Off Meeting
2.2 Detailed Design - Viaduct & Associated Structures,A1900,"Compile and Review All Input Data (Geotechnical Reports, Surveys, Preliminary Design)",1,START
2.2 Detailed Design - Viaduct & Associated Structures,A1910,Develop and Approve Detailed Design Execution Plan & Schedule,1,Compile and Review All Input Data (Geotechnical Reports
2.2 Detailed Design - Viaduct & Associated Structures,A1920,Global Structural Analysis & Modeling**,1,START
2.2 Detailed Design - Viaduct & Associated Structures,A1930,"Develop 3D Global Structural Analysis Model (e.g., Midas, SAP2000)",1,START
2.2 Detailed Design - Viaduct & Associated Structures,A1940,"Define and Apply All Load Cases (Dead, Live, Wind, Seismic, Thermal)",1,START
2.2 Detailed Design - Viaduct & Associated Structures,A1950,Run Global Structural Analysis and Extract Member Forces,1,Define and Apply All Load Cases (Dead
2.2 Detailed Design - Viaduct & Associated Structures,A1960,Prepare and Submit Global Structural Analysis Report for Review,1,Run Global Structural Analysis and Extract Member Forces
2.2 Detailed Design - Viaduct & Associated Structures,A1970,Detailed Substructure Design**,1,START
2.2 Detailed Design - Viaduct & Associated Structures,A1980,Perform Detailed Design of Foundations (Piles / Pile Caps / Rafts),1,Prepare and Submit Global Structural Analysis Report for Review
2.2 Detailed Design - Viaduct & Associated Structures,A1990,Perform Detailed Design of Viaduct Piers and Pier Caps,1,Perform Detailed Design of Foundations (Piles / Pile Caps / Rafts)
2.2 Detailed Design - Viaduct & Associated Structures,A2000,Perform Detailed Design of Abutments and Wing Walls,1,Perform Detailed Design of Viaduct Piers and Pier Caps
2.2 Detailed Design - Viaduct & Associated Structures,A2010,Perform Detailed Design of Viaduct Deck / Girders (Precast or Cast-in-Situ),1,Perform Detailed Design of Abutments and Wing Walls
2.2 Detailed Design - Viaduct & Associated Structures,A2020,Design and Specify Structural Bearings,1,Perform Detailed Design of Viaduct Deck / Girders (Precast or Cast-in-Situ)
2.2 Detailed Design - Viaduct & Associated Structures,A2030,Design Pier Head Pedestals and Seismic Arrestors/Restrainers,1,Design and Specify Structural Bearings
2.2 Detailed Design - Viaduct & Associated Structures,A2040,Design Expansion Joints and End-Diaphragms,1,Design Pier Head Pedestals and Seismic Arrestors/Restrainers
2.2 Detailed Design - Viaduct & Associated Structures,A2050,Design of Associated Retaining Walls and Embankments,1,Design Expansion Joints and End-Diaphragms
2.2 Detailed Design - Viaduct & Associated Structures,A2060,Integrate and Design Structural Elements for Drainage System,1,Design of Associated Retaining Walls and Embankments
2.2 Detailed Design - Viaduct & Associated Structures,A2070,"Coordinate and Finalize Design for MEP/Systems Embedments (Conduits, Lighting)",1,START
2.2 Detailed Design - Viaduct & Associated Structures,A2080,Develop and Finalize Architectural Finishes and Cladding Details,1,Coordinate and Finalize Design for MEP/Systems Embedments (Conduits
2.2 Detailed Design - Viaduct & Associated Structures,A2090,Produce General Arrangement (GA) Drawings,1,Develop and Finalize Architectural Finishes and Cladding Details
2.2 Detailed Design - Viaduct & Associated Structures,A2100,Produce Formwork and Reinforcement Drawings for Foundations,1,Produce General Arrangement (GA) Drawings
2.2 Detailed Design - Viaduct & Associated Structures,A2110,Produce Formwork and Reinforcement Drawings for Piers and Abutments,1,Produce Formwork and Reinforcement Drawings for Foundations
2.2 Detailed Design - Viaduct & Associated Structures,A2120,Produce Formwork and Reinforcement Drawings for Superstructure Deck/Girders,1,Produce Formwork and Reinforcement Drawings for Piers and Abutments
2.2 Detailed Design - Viaduct & Associated Structures,A2130,"Produce Detail Drawings for Bearings, Pedestals, and Seismic Arrestors",1,START
2.2 Detailed Design - Viaduct & Associated Structures,A2140,Prepare Detailed Bill of Quantities (BoQ),1,Produce Detail Drawings for Bearings
2.2 Detailed Design - Viaduct & Associated Structures,A2150,Prepare Technical Specifications for Materials and Workmanship,1,Prepare Detailed Bill of Quantities (BoQ)
2.2 Detailed Design - Viaduct & Associated Structures,A2160,Conduct Internal Structural Design Review and Verification (Checker),1,Prepare Technical Specifications for Materials and Workmanship
2.2 Detailed Design - Viaduct & Associated Structures,A2170,Issue Design Packages for Inter-Disciplinary Check (IDC),1,Conduct Internal Structural Design Review and Verification (Checker)
2.2 Detailed Design - Viaduct & Associated Structures,A2180,Incorporate Comments from IDC Review Cycle,1,Issue Design Packages for Inter-Disciplinary Check (IDC)
2.2 Detailed Design - Viaduct & Associated Structures,A2190,"Compile and Submit Full Design Package for ""Issued for Approval"" (IFA)",1,Incorporate Comments from IDC Review Cycle
2.2 Detailed Design - Viaduct & Associated Structures,A2200,Receive and Review Comments from Client/Engineer,1,"Compile and Submit Full Design Package for ""Issued for Approval"" (IFA)"
2.2 Detailed Design - Viaduct & Associated Structures,A2210,Incorporate Final Comments and Revise Drawings & Documents,1,Receive and Review Comments from Client/Engineer
2.2 Detailed Design - Viaduct & Associated Structures,A2220,"Submit Final Design Package for ""Issued for Construction"" (IFC) Status",1,Incorporate Final Comments and Revise Drawings & Documents
2.2 Detailed Design - Viaduct & Associated Structures,A2230,Archive Final Design Deliverables,1,"Submit Final Design Package for ""Issued for Construction"" (IFC) Status"
2.3 Detailed Design - Elevated Stations,A2240,GENERATED ACTIVITY LIST (LOGICAL SEQUENCE):**,1,START
2.3 Detailed Design - Elevated Stations,A2250,Design Initiation & Basis of Design**,1,START
2.3 Detailed Design - Elevated Stations,A2260,Conduct Detailed Design Kick-Off Meeting,1,START
2.3 Detailed Design - Elevated Stations,A2270,"Gather and Review all Input Data (Geotechnical Reports, Topographical Surveys, Concept Design)",1,START
2.3 Detailed Design - Elevated Stations,A2280,"Develop and Finalize the ""Basis of Design"" Document",1,Gather and Review all Input Data (Geotechnical Reports
2.3 Detailed Design - Elevated Stations,A2290,Establish BIM Execution Plan (BEP) and Common Data Environment (CDE),1,"Develop and Finalize the ""Basis of Design"" Document"
2.3 Detailed Design - Elevated Stations,A2300,Architectural Detailed Design**,1,START
2.3 Detailed Design - Elevated Stations,A2310,"Develop Detailed General Arrangement (GA) Plans, Sections, and Elevations",1,START
2.3 Detailed Design - Elevated Stations,A2320,Develop 3D Architectural Model,1,Develop Detailed General Arrangement (GA) Plans
2.3 Detailed Design - Elevated Stations,A2330,Finalize Architectural Finishes Schedule and Material Selection,1,Develop 3D Architectural Model
2.3 Detailed Design - Elevated Stations,A2340,"Prepare Detailed Drawings for Facade, Roofing, and Internal Partitions",1,START
2.3 Detailed Design - Elevated Stations,A2350,"Prepare Door, Window, and Hardware Schedules",1,START
2.3 Detailed Design - Elevated Stations,A2360,Structural Detailed Design**,1,START
2.3 Detailed Design - Elevated Stations,A2370,Develop Structural Framing System and 3D Structural Model,1,Develop 3D Architectural Model
2.3 Detailed Design - Elevated Stations,A2380,"Perform Detailed Structural Analysis and Calculations (Static, Dynamic, Seismic)",1,START
2.3 Detailed Design - Elevated Stations,A2390,"Detailed Design of Substructure (Foundations, Piles, Pile Caps)",1,START
2.3 Detailed Design - Elevated Stations,A2400,"Detailed Design of Superstructure (Columns, Beams, Slabs, Station Box)",1,START
2.3 Detailed Design - Elevated Stations,A2410,"Detailed Design of Specialized Structural Components (e.g., Bearing **Pedestals, Seismic Arrestors**)",1,START
2.3 Detailed Design - Elevated Stations,A2420,Prepare Structural Reinforcement Drawings and Bar Bending Schedules,1,Detailed Design of Specialized Structural Components (e.g.
2.3 Detailed Design - Elevated Stations,A2430,"Detailed Design of HVAC System, including Ducting and Plant Room Layouts",1,START
2.3 Detailed Design - Elevated Stations,A2440,"Detailed Design of Electrical Systems (Power, Lighting, Cable Containment, Earthing)",1,START
2.3 Detailed Design - Elevated Stations,A2450,"Detailed Design of Plumbing, Drainage, and Sanitary Systems",1,START
2.3 Detailed Design - Elevated Stations,A2460,"Detailed Design of Fire Protection and Life Safety Systems (Sprinklers, Alarms, Smoke Extract)",1,START
2.3 Detailed Design - Elevated Stations,A2470,"Detailed Design of Station ELV Systems (CCTV, PA, Access Control, Comms)",1,START
2.3 Detailed Design - Elevated Stations,A2480,Develop Coordinated 3D MEP Models,1,Detailed Design of Station ELV Systems (CCTV
2.3 Detailed Design - Elevated Stations,A2490,Conduct Weekly Inter-Disciplinary Coordination (IDC) Workshops,1,Develop Coordinated 3D MEP Models
2.3 Detailed Design - Elevated Stations,A2500,"Perform BIM Clash Detection, Analysis, and Resolution",1,START
2.3 Detailed Design - Elevated Stations,A2510,Update and Maintain Federated BIM Model,1,Perform BIM Clash Detection
2.3 Detailed Design - Elevated Stations,A2520,Prepare and Consolidate 60% Detailed Design Submission Package,1,Update and Maintain Federated BIM Model
2.3 Detailed Design - Elevated Stations,A2530,Conduct Internal QA/QC and Peer Review of 60% Design Package,1,Prepare and Consolidate 60% Detailed Design Submission Package
2.3 Detailed Design - Elevated Stations,A2540,Submit 60% Design Package for Client / Authority Review,1,Conduct Internal QA/QC and Peer Review of 60% Design Package
2.3 Detailed Design - Elevated Stations,A2550,Receive and Incorporate Comments on 60% Design Submission,1,Submit 60% Design Package for Client / Authority Review
2.3 Detailed Design - Elevated Stations,A2560,Prepare and Consolidate 90% (Pre-Final) Design Submission Package,1,Receive and Incorporate Comments on 60% Design Submission
2.3 Detailed Design - Elevated Stations,A2570,Conduct Internal QA/QC and Peer Review of 90% Design Package,1,Prepare and Consolidate 90% (Pre-Final) Design Submission Package
2.3 Detailed Design - Elevated Stations,A2580,Submit 90% Design Package for Client / Authority Review,1,Conduct Internal QA/QC and Peer Review of 90% Design Package
2.3 Detailed Design - Elevated Stations,A2590,Receive and Incorporate Final Comments on 90% Design Submission,1,Submit 90% Design Package for Client / Authority Review
2.3 Detailed Design - Elevated Stations,A2600,Finalize all Design Calculations and Technical Specifications,1,Receive and Incorporate Final Comments on 90% Design Submission
2.3 Detailed Design - Elevated Stations,A2610,Prepare Final Bill of Quantities (BOQ) and Cost Estimates,1,"Prepare and Issue ""Issued for Construction"" (IFC) Drawing Package"
2.3 Detailed Design - Elevated Stations,A2620,"Prepare and Issue ""Issued for Construction"" (IFC) Drawing Package",1,Finalize all Design Calculations and Technical Specifications
2.3 Detailed Design - Elevated Stations,A2630,Compile and Submit Final Design Report,1,Prepare Final Bill of Quantities (BOQ) and Cost Estimates
2.3 Detailed Design - Elevated Stations,A2640,Archive Final Design Deliverables,1,Compile and Submit Final Design Report
2.3 Detailed Design - Elevated Stations,A2650,Design Management and Progress Reporting (Level of Effort),1,Conduct Detailed Design Kick-Off Meeting
2.4 Detailed Design - New Depot,A2660,"Analysis:** The target WBS is ""2.4 Detailed Design - New Depot"". This is a design-phase WBS, not a construction one. The provided context (""Pedestal & Seismic arrestors"") is a specific construction activity and is therefore not relevant to the design process. As a Senior Planner, I will generate a logical sequence of design activities from scratch, covering the typical lifecycle from design kick-off to the issuance of construction documents.",1,START
2.4 Detailed Design - New Depot,A2670,GENERATED ACTIVITY LIST (LOGICAL SEQUENCE):**,1,START
2.4 Detailed Design - New Depot,A2680,Design Management & Mobilization**,1,START
2.4 Detailed Design - New Depot,A2690,Detailed Design Kick-Off Meeting,1,START
2.4 Detailed Design - New Depot,A2700,Establish Design Management Plan & Procedures,1,Detailed Design Kick-Off Meeting
2.4 Detailed Design - New Depot,A2710,Mobilize Multi-Disciplinary Design Team,1,Establish Design Management Plan & Procedures
2.4 Detailed Design - New Depot,A2720,Review and Finalize Basis of Design (BoD),1,Mobilize Multi-Disciplinary Design Team
2.4 Detailed Design - New Depot,A2730,Review and Incorporate Preliminary/Concept Design Feedback,1,Review and Finalize Basis of Design (BoD)
2.4 Detailed Design - New Depot,A2740,Site Investigation & Data Collection**,1,START
2.4 Detailed Design - New Depot,A2750,Conduct Detailed Topographical Survey of Depot Site,1,Review and Incorporate Preliminary/Concept Design Feedback
2.4 Detailed Design - New Depot,A2760,Conduct Geotechnical Investigations & Soil Analysis,1,Conduct Detailed Topographical Survey of Depot Site
2.4 Detailed Design - New Depot,A2770,Finalize Geotechnical Investigation Report,1,Conduct Geotechnical Investigations & Soil Analysis
2.4 Detailed Design - New Depot,A2780,Identify and Survey Existing Utilities and Services,1,Finalize Geotechnical Investigation Report
2.4 Detailed Design - New Depot,A2790,Schematic Design Development (30% Submission)**,1,START
2.4 Detailed Design - New Depot,A2800,"Develop 30% Architectural Design Package (Layouts, Elevations)",1,START
2.4 Detailed Design - New Depot,A2810,"Develop 30% Civil & Structural Design Package (Grading, Foundation Concepts)",1,START
2.4 Detailed Design - New Depot,A2820,Develop 30% MEP & Utilities Design Package (System Schematics),1,Develop 30% Civil & Structural Design Package (Grading
2.4 Detailed Design - New Depot,A2830,"Develop 30% Depot Specialist Systems Design (Track Layout, Maintenance Bays)",1,START
2.4 Detailed Design - New Depot,A2840,Conduct Inter-Disciplinary Design Coordination & Review (30%),1,Develop 30% Depot Specialist Systems Design (Track Layout
2.4 Detailed Design - New Depot,A2850,Submit 30% Design Package for Client Review,1,Conduct Inter-Disciplinary Design Coordination & Review (30%)
2.4 Detailed Design - New Depot,A2860,Incorporate Client Feedback on 30% Design,1,Submit 30% Design Package for Client Review
2.4 Detailed Design - New Depot,A2870,"Develop 60% Architectural Design Package (Detailed Plans, Sections)",1,START
2.4 Detailed Design - New Depot,A2880,"Develop 60% Civil & Structural Design Package (Structural Framing, Drainage)",1,START
2.4 Detailed Design - New Depot,A2890,"Develop 60% MEP & Utilities Design Package (Equipment Sizing, Duct/Pipe Routing)",1,START
2.4 Detailed Design - New Depot,A2900,"Develop 60% Depot Specialist Systems Design (Signaling, OCS, Equipment Specs)",1,START
2.4 Detailed Design - New Depot,A2910,Perform BIM Model Integration and Clash Detection,1,Develop 60% Depot Specialist Systems Design (Signaling
2.4 Detailed Design - New Depot,A2920,Conduct Inter-Disciplinary Design Coordination & Review (60%),1,Perform BIM Model Integration and Clash Detection
2.4 Detailed Design - New Depot,A2930,Submit 60% Design Package for Client Review,1,Conduct Inter-Disciplinary Design Coordination & Review (60%)
2.4 Detailed Design - New Depot,A2940,Incorporate Client Feedback on 60% Design,1,Submit 60% Design Package for Client Review
2.4 Detailed Design - New Depot,A2950,"Develop 90% Architectural Design Package (Finishes, Detailing)",1,START
2.4 Detailed Design - New Depot,A2960,"Develop 90% Civil & Structural Design Package (Reinforcement Details, Calculations)",1,START
2.4 Detailed Design - New Depot,A2970,"Develop 90% MEP & Utilities Design Package (Final Layouts, Control Schematics)",1,START
2.4 Detailed Design - New Depot,A2980,"Develop 90% Depot Specialist Systems Design (Final Schematics, Interface Details)",1,START
2.4 Detailed Design - New Depot,A2990,Prepare Draft Technical Specifications for all Disciplines,1,Develop 90% Depot Specialist Systems Design (Final Schematics
2.4 Detailed Design - New Depot,A3000,Prepare Draft Bill of Quantities (BoQ),1,Prepare Draft Technical Specifications for all Disciplines
2.4 Detailed Design - New Depot,A3010,Submit 90% Design Package for Client and Authority for Approval (AFA) Review,1,Prepare Draft Bill of Quantities (BoQ)
2.4 Detailed Design - New Depot,A3020,Incorporate Final Comments from Client and Authorities,1,Submit 90% Design Package for Client and Authority for Approval (AFA) Review
2.4 Detailed Design - New Depot,A3030,Finalize Architectural Issued for Construction (IFC) Drawings,1,Incorporate Final Comments from Client and Authorities
2.4 Detailed Design - New Depot,A3040,Finalize Civil & Structural IFC Drawings & Calculations,1,Finalize Architectural Issued for Construction (IFC) Drawings
2.4 Detailed Design - New Depot,A3050,Finalize MEP & Utilities IFC Drawings,1,Finalize Civil & Structural IFC Drawings & Calculations
2.4 Detailed Design - New Depot,A3060,Finalize Depot Specialist Systems IFC Drawings,1,Finalize MEP & Utilities IFC Drawings
